"Step","serene-snowball-84 - val/accuracy/dataloader_idx_1","serene-snowball-84 - val/accuracy/dataloader_idx_1__MIN","serene-snowball-84 - val/accuracy/dataloader_idx_1__MAX","driven-music-83 - val/accuracy/dataloader_idx_1","driven-music-83 - val/accuracy/dataloader_idx_1__MIN","driven-music-83 - val/accuracy/dataloader_idx_1__MAX","leafy-serenity-82 - val/accuracy/dataloader_idx_1","leafy-serenity-82 - val/accuracy/dataloader_idx_1__MIN","leafy-serenity-82 - val/accuracy/dataloader_idx_1__MAX","radiant-terrain-80 - val/accuracy/dataloader_idx_1","radiant-terrain-80 - val/accuracy/dataloader_idx_1__MIN","radiant-terrain-80 - val/accuracy/dataloader_idx_1__MAX","bumbling-river-81 - val/accuracy/dataloader_idx_1","bumbling-river-81 - val/accuracy/dataloader_idx_1__MIN","bumbling-river-81 - val/accuracy/dataloader_idx_1__MAX","cosmic-monkey-79 - val/accuracy/dataloader_idx_1","cosmic-monkey-79 - val/accuracy/dataloader_idx_1__MIN","cosmic-monkey-79 - val/accuracy/dataloader_idx_1__MAX","chocolate-smoke-77 - val/accuracy/dataloader_idx_1","chocolate-smoke-77 - val/accuracy/dataloader_idx_1__MIN","chocolate-smoke-77 - val/accuracy/dataloader_idx_1__MAX","peachy-resonance-78 - val/accuracy/dataloader_idx_1","peachy-resonance-78 - val/accuracy/dataloader_idx_1__MIN","peachy-resonance-78 - val/accuracy/dataloader_idx_1__MAX","polar-serenity-76 - val/accuracy/dataloader_idx_1","polar-serenity-76 - val/accuracy/dataloader_idx_1__MIN","polar-serenity-76 - val/accuracy/dataloader_idx_1__MAX","eager-vortex-75 - val/accuracy/dataloader_idx_1","eager-vortex-75 - val/accuracy/dataloader_idx_1__MIN","eager-vortex-75 - val/accuracy/dataloader_idx_1__MAX"
"9","0.23364724218845367","0.23364724218845367","0.23364724218845367","0.23339271545410156","0.23339271545410156","0.23339271545410156","0.22702978551387787","0.22702978551387787","0.22702978551387787","0.24001018702983856","0.24001018702983856","0.24001018702983856","0.2420463263988495","0.2420463263988495","0.2420463263988495","0.23339271545410156","0.23339271545410156","0.23339271545410156","0.23186561465263367","0.23186561465263367","0.23186561465263367","0.22830235958099365","0.22830235958099365","0.22830235958099365","0.2272842973470688","0.2272842973470688","0.2272842973470688","0.23033851385116577","0.23033851385116577","0.23033851385116577"
"20","0.23797403275966644","0.23797403275966644","0.23797403275966644","0.24790023267269135","0.24790023267269135","0.24790023267269135","0.24968186020851135","0.24968186020851135","0.24968186020851135","0.24153728783130646","0.24153728783130646","0.24153728783130646","0.23975566029548645","0.23975566029548645","0.23975566029548645","0.23771952092647552","0.23771952092647552","0.23771952092647552","0.23542886972427368","0.23542886972427368","0.23542886972427368","0.2667345404624939","0.2667345404624939","0.2667345404624939","0.2272842973470688","0.2272842973470688","0.2272842973470688","0.23644693195819855","0.23644693195819855","0.23644693195819855"
"30","0.2506999373435974","0.2506999373435974","0.2506999373435974","0.24153728783130646","0.24153728783130646","0.24153728783130646","0.255535751581192","0.255535751581192","0.255535751581192","0.255535751581192","0.255535751581192","0.255535751581192","0.2646983861923218","0.2646983861923218","0.2646983861923218","0.25808092951774597","0.25808092951774597","0.25808092951774597","0.25146347284317017","0.25146347284317017","0.25146347284317017","0.27411556243896484","0.27411556243896484","0.27411556243896484","0.2588444948196411","0.2588444948196411","0.2588444948196411","0.25782641768455505","0.25782641768455505","0.25782641768455505"
"41","0.2753881514072418","0.2753881514072418","0.2753881514072418","0.27767878770828247","0.27767878770828247","0.27767878770828247","0.29218631982803345","0.29218631982803345","0.29218631982803345","0.3010944128036499","0.3010944128036499","0.3010944128036499","0.2669890522956848","0.2669890522956848","0.2669890522956848","0.2835327088832855","0.2835327088832855","0.2835327088832855","0.26749810576438904","0.26749810576438904","0.26749810576438904","0.2817510962486267","0.2817510962486267","0.2817510962486267","0.3010944128036499","0.3010944128036499","0.3010944128036499","0.2977856993675232","0.2977856993675232","0.2977856993675232"
"52","0.2993128001689911","0.2993128001689911","0.2993128001689911","0.28378722071647644","0.28378722071647644","0.28378722071647644","0.3074573576450348","0.3074573576450348","0.3074573576450348","0.3260371685028076","0.3260371685028076","0.3260371685028076","0.3252736032009125","0.3252736032009125","0.3252736032009125","0.3094935119152069","0.3094935119152069","0.3094935119152069","0.300839900970459","0.300839900970459","0.300839900970459","0.3206923007965088","0.3206923007965088","0.3206923007965088","0.31967422366142273","0.31967422366142273","0.31967422366142273","0.3010944128036499","0.3010944128036499","0.3010944128036499"
"62","0.2932043671607971","0.2932043671607971","0.2932043671607971","0.3158564567565918","0.3158564567565918","0.3158564567565918","0.3204377591609955","0.3204377591609955","0.3204377591609955","0.3502163290977478","0.3502163290977478","0.3502163290977478","0.32298293709754944","0.32298293709754944","0.32298293709754944","0.3357088267803192","0.3357088267803192","0.3357088267803192","0.29218631982803345","0.29218631982803345","0.29218631982803345","0.34283533692359924","0.34283533692359924","0.34283533692359924","0.3451259732246399","0.3451259732246399","0.3451259732246399","0.3061847686767578","0.3061847686767578","0.3061847686767578"
"73","0.3028760552406311","0.3028760552406311","0.3028760552406311","0.3321455717086792","0.3321455717086792","0.3321455717086792","0.33621788024902344","0.33621788024902344","0.33621788024902344","0.3621786832809448","0.3621786832809448","0.3621786832809448","0.3537795841693878","0.3537795841693878","0.3537795841693878","0.3341817259788513","0.3341817259788513","0.3341817259788513","0.307966411113739","0.307966411113739","0.307966411113739","0.3568337857723236","0.3568337857723236","0.3568337857723236","0.36777806282043457","0.36777806282043457","0.36777806282043457","0.3402901589870453","0.3402901589870453","0.3402901589870453"
"83","0.2975311875343323","0.2975311875343323","0.2975311875343323","0.3469076156616211","0.3469076156616211","0.3469076156616211","0.3499618172645569","0.3499618172645569","0.3499618172645569","0.3402901589870453","0.3402901589870453","0.3402901589870453","0.33596333861351013","0.33596333861351013","0.33596333861351013","0.3372359275817871","0.3372359275817871","0.3372359275817871","0.3209468126296997","0.3209468126296997","0.3209468126296997","0.36396029591560364","0.36396029591560364","0.36396029591560364","0.3629422187805176","0.3629422187805176","0.3629422187805176","0.3407991826534271","0.3407991826534271","0.3407991826534271"
"94","0.29371342062950134","0.29371342062950134","0.29371342062950134","0.35607025027275085","0.35607025027275085","0.35607025027275085","0.3586154282093048","0.3586154282093048","0.3586154282093048","0.36905065178871155","0.36905065178871155","0.36905065178871155","0.3565792739391327","0.3565792739391327","0.3565792739391327","0.343598872423172","0.343598872423172","0.343598872423172","0.347162127494812","0.347162127494812","0.347162127494812","0.36065155267715454","0.36065155267715454","0.36065155267715454","0.4204632341861725","0.4204632341861725","0.4204632341861725","0.3456350266933441","0.3456350266933441","0.3456350266933441"
"105","0.3107661008834839","0.3107661008834839","0.3107661008834839","0.3782132863998413","0.3782132863998413","0.3782132863998413","0.344871461391449","0.344871461391449","0.344871461391449","0.37566810846328735","0.37566810846328735","0.37566810846328735","0.3817765414714813","0.3817765414714813","0.3817765414714813","0.35454314947128296","0.35454314947128296","0.35454314947128296","0.35937896370887756","0.35937896370887756","0.35937896370887756","0.38712140917778015","0.38712140917778015","0.38712140917778015","0.4202086925506592","0.4202086925506592","0.4202086925506592","0.35556119680404663","0.35556119680404663","0.35556119680404663"
