"Step","leafy-snow-22 - val/accuracy/dataloader_idx_3","leafy-snow-22 - val/accuracy/dataloader_idx_3__MIN","leafy-snow-22 - val/accuracy/dataloader_idx_3__MAX","rare-haze-21 - val/accuracy/dataloader_idx_3","rare-haze-21 - val/accuracy/dataloader_idx_3__MIN","rare-haze-21 - val/accuracy/dataloader_idx_3__MAX","good-microwave-23 - val/accuracy/dataloader_idx_3","good-microwave-23 - val/accuracy/dataloader_idx_3__MIN","good-microwave-23 - val/accuracy/dataloader_idx_3__MAX"
"351","0.7197265625","0.7197265625","0.7197265625","0.7347005009651184","0.7347005009651184","0.7347005009651184","0.7213541865348816","0.7213541865348816","0.7213541865348816"
"704","0.79296875","0.79296875","0.79296875","0.7718098759651184","0.7718098759651184","0.7718098759651184","0.798828125","0.798828125","0.798828125"
"1056","0.8203125","0.8203125","0.8203125","0.8190104365348816","0.8190104365348816","0.8190104365348816","0.841796875","0.841796875","0.841796875"
"1409","0.826171875","0.826171875","0.826171875","0.830078125","0.830078125","0.830078125","0.8382161259651184","0.8382161259651184","0.8382161259651184"
"1762","0.8404948115348816","0.8404948115348816","0.8404948115348816","0.83203125","0.83203125","0.83203125","0.833984375","0.833984375","0.833984375"
"2114","0.8470051884651184","0.8470051884651184","0.8470051884651184","0.8284505009651184","0.8284505009651184","0.8284505009651184","0.8557942509651184","0.8557942509651184","0.8557942509651184"
"2467","0.8343098759651184","0.8343098759651184","0.8343098759651184","0.8447265625","0.8447265625","0.8447265625","0.8502604365348816","0.8502604365348816","0.8502604365348816"
"2819","0.8385416865348816","0.8385416865348816","0.8385416865348816","0.8421223759651184","0.8421223759651184","0.8421223759651184","0.8570963740348816","0.8570963740348816","0.8570963740348816"
"3172","0.8551432490348816","0.8551432490348816","0.8551432490348816","0.841796875","0.841796875","0.841796875","0.8470051884651184","0.8470051884651184","0.8470051884651184"
"3525","0.84375","0.84375","0.84375","0.8421223759651184","0.8421223759651184","0.8421223759651184","0.85546875","0.85546875","0.85546875"
"3877","0.8502604365348816","0.8502604365348816","0.8502604365348816","0.8450520634651184","0.8450520634651184","0.8450520634651184","0.8587239384651184","0.8587239384651184","0.8587239384651184"
"4230","0.8548176884651184","0.8548176884651184","0.8548176884651184","0.8388671875","0.8388671875","0.8388671875","0.8564453125","0.8564453125","0.8564453125"
"4582","0.8590494990348816","0.8590494990348816","0.8590494990348816","0.8502604365348816","0.8502604365348816","0.8502604365348816","0.8587239384651184","0.8587239384651184","0.8587239384651184"
"4935","0.8522135615348816","0.8522135615348816","0.8522135615348816","0.8531901240348816","0.8531901240348816","0.8531901240348816","0.86328125","0.86328125","0.86328125"
"5288","0.8587239384651184","0.8587239384651184","0.8587239384651184","0.8515625","0.8515625","0.8515625","0.8626301884651184","0.8626301884651184","0.8626301884651184"
"5640","0.8662109375","0.8662109375","0.8662109375","0.8626301884651184","0.8626301884651184","0.8626301884651184","0.8606770634651184","0.8606770634651184","0.8606770634651184"
"5993","0.8597005009651184","0.8597005009651184","0.8597005009651184","0.8531901240348816","0.8531901240348816","0.8531901240348816","0.8606770634651184","0.8606770634651184","0.8606770634651184"
"6345","0.861328125","0.861328125","0.861328125","0.857421875","0.857421875","0.857421875","0.8681640625","0.8681640625","0.8681640625"
"6698","0.8610026240348816","0.8610026240348816","0.8610026240348816","0.869140625","0.869140625","0.869140625","0.8671875","0.8671875","0.8671875"
"7051","0.861328125","0.861328125","0.861328125","0.8759765625","0.8759765625","0.8759765625","0.8681640625","0.8681640625","0.8681640625"
"7403","0.8658854365348816","0.8658854365348816","0.8658854365348816","0.8587239384651184","0.8587239384651184","0.8587239384651184","0.8662109375","0.8662109375","0.8662109375"
"7756","0.8668619990348816","0.8668619990348816","0.8668619990348816","0.869140625","0.869140625","0.869140625","0.8805338740348816","0.8805338740348816","0.8805338740348816"
"8108","0.8570963740348816","0.8570963740348816","0.8570963740348816","0.8470051884651184","0.8470051884651184","0.8470051884651184","0.880859375","0.880859375","0.880859375"
"8461","0.8583984375","0.8583984375","0.8583984375","0.859375","0.859375","0.859375","0.8759765625","0.8759765625","0.8759765625"
"8814","0.8645833134651184","0.8645833134651184","0.8645833134651184","0.8551432490348816","0.8551432490348816","0.8551432490348816","0.876953125","0.876953125","0.876953125"
"9166","0.8642578125","0.8642578125","0.8642578125","0.8522135615348816","0.8522135615348816","0.8522135615348816","0.8642578125","0.8642578125","0.8642578125"
"9519","0.873046875","0.873046875","0.873046875","0.8740234375","0.8740234375","0.8740234375","0.8841145634651184","0.8841145634651184","0.8841145634651184"
"9871","0.8720703125","0.8720703125","0.8720703125","0.8489583134651184","0.8489583134651184","0.8489583134651184","0.8782551884651184","0.8782551884651184","0.8782551884651184"
"10224","0.8746744990348816","0.8746744990348816","0.8746744990348816","0.8678385615348816","0.8678385615348816","0.8678385615348816","0.8876953125","0.8876953125","0.8876953125"
"10577","0.8720703125","0.8720703125","0.8720703125","0.8821614384651184","0.8821614384651184","0.8821614384651184","0.8792317509651184","0.8792317509651184","0.8792317509651184"
"10929","0.8756510615348816","0.8756510615348816","0.8756510615348816","0.8805338740348816","0.8805338740348816","0.8805338740348816","0.8912760615348816","0.8912760615348816","0.8912760615348816"
