"Step","bright-shape-26 - val/accuracy/dataloader_idx_1","bright-shape-26 - val/accuracy/dataloader_idx_1__MIN","bright-shape-26 - val/accuracy/dataloader_idx_1__MAX","swept-valley-27 - val/accuracy/dataloader_idx_1","swept-valley-27 - val/accuracy/dataloader_idx_1__MIN","swept-valley-27 - val/accuracy/dataloader_idx_1__MAX"
"9519","0.8896484375","0.8896484375","0.8896484375","0.8515625","0.8515625","0.8515625"
"9871","0.8916015625","0.8916015625","0.8916015625","0.84375","0.84375","0.84375"
"10224","0.892578125","0.892578125","0.892578125","0.8515625","0.8515625","0.8515625"
"10577","0.892578125","0.892578125","0.892578125","0.85546875","0.85546875","0.85546875"
"10929","0.8974609375","0.8974609375","0.8974609375","0.8583984375","0.8583984375","0.8583984375"
"11282","0.8955078125","0.8955078125","0.8955078125","0.853515625","0.853515625","0.853515625"
"11634","0.900390625","0.900390625","0.900390625","0.8623046875","0.8623046875","0.8623046875"
"11987","0.9033203125","0.9033203125","0.9033203125","0.865234375","0.865234375","0.865234375"
"12340","0.9052734375","0.9052734375","0.9052734375","0.8701171875","0.8701171875","0.8701171875"
"12692","0.904296875","0.904296875","0.904296875","0.8701171875","0.8701171875","0.8701171875"
"13045","0.904296875","0.904296875","0.904296875","0.873046875","0.873046875","0.873046875"
"13397","0.908203125","0.908203125","0.908203125","0.87890625","0.87890625","0.87890625"
"13750","0.9150390625","0.9150390625","0.9150390625","0.8798828125","0.8798828125","0.8798828125"
"14103","0.9091796875","0.9091796875","0.9091796875","0.8828125","0.8828125","0.8828125"
"14455","0.9072265625","0.9072265625","0.9072265625","0.8876953125","0.8876953125","0.8876953125"
"14808","0.912109375","0.912109375","0.912109375","0.888671875","0.888671875","0.888671875"
"15160","0.9130859375","0.9130859375","0.9130859375","0.8837890625","0.8837890625","0.8837890625"
"15513","0.916015625","0.916015625","0.916015625","0.88671875","0.88671875","0.88671875"
"15866","0.916015625","0.916015625","0.916015625","0.8935546875","0.8935546875","0.8935546875"
"16218","0.9189453125","0.9189453125","0.9189453125","0.888671875","0.888671875","0.888671875"
"16571","0.9228515625","0.9228515625","0.9228515625","0.8935546875","0.8935546875","0.8935546875"
"16923","0.923828125","0.923828125","0.923828125","0.89453125","0.89453125","0.89453125"
"17276","0.9228515625","0.9228515625","0.9228515625","0.8916015625","0.8916015625","0.8916015625"
"17629","0.923828125","0.923828125","0.923828125","0.892578125","0.892578125","0.892578125"
"17981","0.9150390625","0.9150390625","0.9150390625","0.8994140625","0.8994140625","0.8994140625"
"18334","0.9248046875","0.9248046875","0.9248046875","0.896484375","0.896484375","0.896484375"
"18686","0.91796875","0.91796875","0.91796875","0.900390625","0.900390625","0.900390625"
"19039","0.9208984375","0.9208984375","0.9208984375","0.896484375","0.896484375","0.896484375"
"19392","0.921875","0.921875","0.921875","0.8984375","0.8984375","0.8984375"
"19744","0.921875","0.921875","0.921875","0.9013671875","0.9013671875","0.9013671875"
"20097","0.9248046875","0.9248046875","0.9248046875","0.9013671875","0.9013671875","0.9013671875"
"20449","0.9267578125","0.9267578125","0.9267578125","0.9130859375","0.9130859375","0.9130859375"
"20802","0.9248046875","0.9248046875","0.9248046875","0.9013671875","0.9013671875","0.9013671875"
"21155","0.927734375","0.927734375","0.927734375","0.9013671875","0.9013671875","0.9013671875"
"21507","0.92578125","0.92578125","0.92578125","0.9091796875","0.9091796875","0.9091796875"
"21860","0.93359375","0.93359375","0.93359375","0.91015625","0.91015625","0.91015625"
"22212","0.9228515625","0.9228515625","0.9228515625","0.9072265625","0.9072265625","0.9072265625"
"22565","0.9296875","0.9296875","0.9296875","0.9091796875","0.9091796875","0.9091796875"
"22918","0.9296875","0.9296875","0.9296875","0.908203125","0.908203125","0.908203125"
"23270","0.9287109375","0.9287109375","0.9287109375","0.9130859375","0.9130859375","0.9130859375"
"23623","0.9345703125","0.9345703125","0.9345703125","0.91015625","0.91015625","0.91015625"
"23975","0.9345703125","0.9345703125","0.9345703125","0.9150390625","0.9150390625","0.9150390625"
"24328","0.9365234375","0.9365234375","0.9365234375","0.916015625","0.916015625","0.916015625"
"24681","0.9296875","0.9296875","0.9296875","0.9169921875","0.9169921875","0.9169921875"
"25033","0.9365234375","0.9365234375","0.9365234375","0.916015625","0.916015625","0.916015625"
"25386","0.9384765625","0.9384765625","0.9384765625","0.9130859375","0.9130859375","0.9130859375"
"25738","0.9326171875","0.9326171875","0.9326171875","0.91796875","0.91796875","0.91796875"
"26091","0.93359375","0.93359375","0.93359375","0.9150390625","0.9150390625","0.9150390625"
"26444","0.9306640625","0.9306640625","0.9306640625","0.9169921875","0.9169921875","0.9169921875"
"26796","0.935546875","0.935546875","0.935546875","0.9228515625","0.9228515625","0.9228515625"
"27149","0.9365234375","0.9365234375","0.9365234375","0.923828125","0.923828125","0.923828125"
"27501","0.9384765625","0.9384765625","0.9384765625","0.9169921875","0.9169921875","0.9169921875"
"27854","0.9326171875","0.9326171875","0.9326171875","0.9228515625","0.9228515625","0.9228515625"
"28207","0.9384765625","0.9384765625","0.9384765625","0.91796875","0.91796875","0.91796875"
"28559","0.9365234375","0.9365234375","0.9365234375","0.92578125","0.92578125","0.92578125"
"28912","0.9384765625","0.9384765625","0.9384765625","0.9169921875","0.9169921875","0.9169921875"
"29264","0.939453125","0.939453125","0.939453125","0.919921875","0.919921875","0.919921875"
"29617","0.94140625","0.94140625","0.94140625","0.927734375","0.927734375","0.927734375"
"29970","0.943359375","0.943359375","0.943359375","0.919921875","0.919921875","0.919921875"
