"Step","prime-morning-94 - val/accuracy/dataloader_idx_1","prime-morning-94 - val/accuracy/dataloader_idx_1__MIN","prime-morning-94 - val/accuracy/dataloader_idx_1__MAX","legendary-aardvark-93 - val/accuracy/dataloader_idx_1","legendary-aardvark-93 - val/accuracy/dataloader_idx_1__MIN","legendary-aardvark-93 - val/accuracy/dataloader_idx_1__MAX","dark-bee-92 - val/accuracy/dataloader_idx_1","dark-bee-92 - val/accuracy/dataloader_idx_1__MIN","dark-bee-92 - val/accuracy/dataloader_idx_1__MAX","dark-bee-91 - val/accuracy/dataloader_idx_1","dark-bee-91 - val/accuracy/dataloader_idx_1__MIN","dark-bee-91 - val/accuracy/dataloader_idx_1__MAX","icy-wave-90 - val/accuracy/dataloader_idx_1","icy-wave-90 - val/accuracy/dataloader_idx_1__MIN","icy-wave-90 - val/accuracy/dataloader_idx_1__MAX","earthy-mountain-89 - val/accuracy/dataloader_idx_1","earthy-mountain-89 - val/accuracy/dataloader_idx_1__MIN","earthy-mountain-89 - val/accuracy/dataloader_idx_1__MAX","rare-silence-88 - val/accuracy/dataloader_idx_1","rare-silence-88 - val/accuracy/dataloader_idx_1__MIN","rare-silence-88 - val/accuracy/dataloader_idx_1__MAX","grateful-fog-87 - val/accuracy/dataloader_idx_1","grateful-fog-87 - val/accuracy/dataloader_idx_1__MIN","grateful-fog-87 - val/accuracy/dataloader_idx_1__MAX","likely-pyramid-86 - val/accuracy/dataloader_idx_1","likely-pyramid-86 - val/accuracy/dataloader_idx_1__MIN","likely-pyramid-86 - val/accuracy/dataloader_idx_1__MAX","tough-bush-85 - val/accuracy/dataloader_idx_1","tough-bush-85 - val/accuracy/dataloader_idx_1__MIN","tough-bush-85 - val/accuracy/dataloader_idx_1__MAX"
"9","0.22219394147396088","0.22219394147396088","0.22219394147396088","0.22524815797805786","0.22524815797805786","0.22524815797805786","0.23161110281944275","0.23161110281944275","0.23161110281944275","0.23466530442237854","0.23466530442237854","0.23466530442237854","0.23466530442237854","0.23466530442237854","0.23466530442237854","0.23873759806156158","0.23873759806156158","0.23873759806156158","0.23873759806156158","0.23873759806156158","0.23873759806156158","0.23491983115673065","0.23491983115673065","0.23491983115673065","0.22881139814853668","0.22881139814853668","0.22881139814853668","0.2339017540216446","0.2339017540216446","0.2339017540216446"
"20","0.22346653044223785","0.22346653044223785","0.22346653044223785","0.22881139814853668","0.22881139814853668","0.22881139814853668","0.23339271545410156","0.23339271545410156","0.23339271545410156","0.23033851385116577","0.23033851385116577","0.23033851385116577","0.2570628523826599","0.2570628523826599","0.2570628523826599","0.23644693195819855","0.23644693195819855","0.23644693195819855","0.23008398711681366","0.23008398711681366","0.23008398711681366","0.23873759806156158","0.23873759806156158","0.23873759806156158","0.22397556900978088","0.22397556900978088","0.22397556900978088","0.23771952092647552","0.23771952092647552","0.23771952092647552"
"30","0.24637311697006226","0.24637311697006226","0.24637311697006226","0.24306438863277435","0.24306438863277435","0.24306438863277435","0.2356833815574646","0.2356833815574646","0.2356833815574646","0.2341562807559967","0.2341562807559967","0.2341562807559967","0.23542886972427368","0.23542886972427368","0.23542886972427368","0.2257571965456009","0.2257571965456009","0.2257571965456009","0.23110206425189972","0.23110206425189972","0.23110206425189972","0.24840927124023438","0.24840927124023438","0.24840927124023438","0.2438279390335083","0.2438279390335083","0.2438279390335083","0.23670144379138947","0.23670144379138947","0.23670144379138947"
"41","0.24764570593833923","0.24764570593833923","0.24764570593833923","0.24637311697006226","0.24637311697006226","0.24637311697006226","0.24790023267269135","0.24790023267269135","0.24790023267269135","0.23670144379138947","0.23670144379138947","0.23670144379138947","0.24001018702983856","0.24001018702983856","0.24001018702983856","0.23873759806156158","0.23873759806156158","0.23873759806156158","0.23364724218845367","0.23364724218845367","0.23364724218845367","0.2456095665693283","0.2456095665693283","0.2456095665693283","0.2339017540216446","0.2339017540216446","0.2339017540216446","0.24917282164096832","0.24917282164096832","0.24917282164096832"
"52","0.24764570593833923","0.24764570593833923","0.24764570593833923","0.2680071294307709","0.2680071294307709","0.2680071294307709","0.26775261759757996","0.26775261759757996","0.26775261759757996","0.26775261759757996","0.26775261759757996","0.26775261759757996","0.24153728783130646","0.24153728783130646","0.24153728783130646","0.2486637830734253","0.2486637830734253","0.2486637830734253","0.2405192106962204","0.2405192106962204","0.2405192106962204","0.24484601616859436","0.24484601616859436","0.24484601616859436","0.2896411418914795","0.2896411418914795","0.2896411418914795","0.24128277599811554","0.24128277599811554","0.24128277599811554"
"62","0.2746245861053467","0.2746245861053467","0.2746245861053467","0.3128022253513336","0.3128022253513336","0.3128022253513336","0.27716976404190063","0.27716976404190063","0.27716976404190063","0.29549503326416016","0.29549503326416016","0.29549503326416016","0.26240774989128113","0.26240774989128113","0.26240774989128113","0.2817510962486267","0.2817510962486267","0.2817510962486267","0.2634257972240448","0.2634257972240448","0.2634257972240448","0.3059302568435669","0.3059302568435669","0.3059302568435669","0.27920591831207275","0.27920591831207275","0.27920591831207275","0.26240774989128113","0.26240774989128113","0.26240774989128113"
"73","0.31992873549461365","0.31992873549461365","0.31992873549461365","0.32298293709754944","0.32298293709754944","0.32298293709754944","0.3125477135181427","0.3125477135181427","0.3125477135181427","0.31687453389167786","0.31687453389167786","0.31687453389167786","0.256808340549469","0.256808340549469","0.256808340549469","0.33647239208221436","0.33647239208221436","0.33647239208221436","0.27946043014526367","0.27946043014526367","0.27946043014526367","0.32501909136772156","0.32501909136772156","0.32501909136772156","0.3171290457248688","0.3171290457248688","0.3171290457248688","0.2934589087963104","0.2934589087963104","0.2934589087963104"
"83","0.36268770694732666","0.36268770694732666","0.36268770694732666","0.3145838677883148","0.3145838677883148","0.3145838677883148","0.29371342062950134","0.29371342062950134","0.29371342062950134","0.3402901589870453","0.3402901589870453","0.3402901589870453","0.2898956537246704","0.2898956537246704","0.2898956537246704","0.3685416281223297","0.3685416281223297","0.3685416281223297","0.3023670017719269","0.3023670017719269","0.3023670017719269","0.32807329297065735","0.32807329297065735","0.32807329297065735","0.300839900970459","0.300839900970459","0.300839900970459","0.30872994661331177","0.30872994661331177","0.30872994661331177"
"94","0.3586154282093048","0.3586154282093048","0.3586154282093048","0.33316364884376526","0.33316364884376526","0.33316364884376526","0.3122932016849518","0.3122932016849518","0.3122932016849518","0.34130820631980896","0.34130820631980896","0.34130820631980896","0.2949860095977783","0.2949860095977783","0.2949860095977783","0.36548739671707153","0.36548739671707153","0.36548739671707153","0.3161109685897827","0.3161109685897827","0.3161109685897827","0.33978110551834106","0.33978110551834106","0.33978110551834106","0.3311275243759155","0.3311275243759155","0.3311275243759155","0.3354543149471283","0.3354543149471283","0.3354543149471283"
"105","0.3486892282962799","0.3486892282962799","0.3486892282962799","0.3252736032009125","0.3252736032009125","0.3252736032009125","0.309239000082016","0.309239000082016","0.309239000082016","0.3418172597885132","0.3418172597885132","0.3418172597885132","0.2865869104862213","0.2865869104862213","0.2865869104862213","0.39170271158218384","0.39170271158218384","0.39170271158218384","0.32960039377212524","0.32960039377212524","0.32960039377212524","0.37261390686035156","0.37261390686035156","0.37261390686035156","0.3369814157485962","0.3369814157485962","0.3369814157485962","0.3171290457248688","0.3171290457248688","0.3171290457248688"
